|0000000000|Active|kkhSvCsfgbDUvsiZWtPQwjkYPwKrfTUFMGMCWCBXBcOcTkaLSudO|Biotechnology & Drugs|A|0|Ellebracht|19918 Rogers North||35233|Long Beach|NC|United States of America|CUpESkLIQ LBcTnhDEOCLVhfDjOopGKRBxRYGboIrPFcDxMSGkskSwAJdAPWSAPTf T|1886-07-22|0|0|1967-01-01 17:31:45|1968-03-16 12:10:18
|0000000000|Active|kkhSvCsfgbDUvsiZWtPQwjkYPwKrfTUFMGMCWCBXBcOcTkaLSudO|Natural Gas Utilities|A|0|Ellebracht|19918 Rogers North||35233|Long Beach|NC|United States of America|CUpESkLIQ LBcTnhDEOCLVhfDjOopGKRBxRYGboIrPFcDxMSGkskSwAJdAPWSAPTf T|1886-12-08|1|0|1968-03-16 12:10:18|9999-12-31
|0000000001|Active|TGfFOOldnTHLjuAaQqJBgbibktVyiLStkrLCynHAZNCp|Metal Mining|BB|1|Schrupp|18065 Four Points Drive|Apt. 398|T5C 1T1|Atlanta|Nova Scotia|United States of America|CDQRuWjWYOxAXaxBmtiD ZsEcVdDdKZ gRBLzFSDejX UcSmRApkRBipTTGkWs hZqXkpvMsXFziJURrJLjfXBNHbnq XJUUkgfXRHUBMTsHGYahLMAHmNOUTAKAh fHaTI|1854-02-08|0|0|1967-01-03 11:35:57|1967-09-26 11:48:49
|0000000001|Inactive|TGfFOOldnTHLjuAaQqJBgbibktVyiLStkrLCynHAZNCp|Metal Mining|BB|1|Schrupp|18065 Four Points Drive|Apt. 398|T5C 1T1|Atlanta|Nova Scotia|United States of America|CDQRuWjWYOxAXaxBmtiD ZsEcVdDdKZ gRBLzFSDejX UcSmRApkRBipTTGkWs hZqXkpvMsXFziJURrJLjfXBNHbnq XJUUkgfXRHUBMTsHGYahLMAHmNOUTAKAh fHaTI|1854-02-17|1|0|1967-09-26 11:48:49|9999-12-31
|0000000002|Active|jRhDJJDxLPxUEMMpdhzdZNqRVTuzMCrlMcwMsdHNvIEBwDfErPG|Broadcasting & Cable TV|AA+|0|Setera|5397 Gessner Drive||37933|Stamford|CO|Canada|NWRSuluTBHdsBdoLBKORDOmaM MNCKssPPBLngSJOOhjvUhajRiEREVEnOVZIAVHgkYzJELLsIQrJlCXSFJGZBhBsFFNQUbiFRsIoHcahXzFnOBRPFJwSkAZCwHYONWl|1921-03-28|1|0|1967-01-03 19:21:53|9999-12-31
|0000000003|Active|RICOfhFDpPHwKRHsmPHYTpTzGDeJMQruPEEdPICrMiweHGwOFQYNoQXZWIjN|Tires|A|0|Dorsett|2387 Halle Lower||E7O 1I5|Elizabeth|Alberta|United States of America|EknTgdSRAbcjFnBQGkGhZwYKmsR DUnJcPlOMlLRcusE|1930-03-28|1|0|1967-01-04 21:11:49|9999-12-31
|0000000004|Active|gIOONPxnQUwBdFNEMLBUXdUbFPDWDVOVnWIIMRpOMbaMGipmCAICpjncsHs|Retail (Grocery)|FZ|1|Thursby|20644 Birchwood Way||V6D 1P4|Fort Wayne|VT|United States of America|EXoxOMwRbSK ajeCNjiuEAxqzPKYpuNgBxxNMJrPYCXicCNNVXKbROeFROToBqgVhwndmvWzBJRbaCUzNDHKcljPkfRjItSquPfbNUqPQBDotrKSMsFnOLMmXRdTNwZsE|1889-04-18|1|0|1967-01-06 05:41:40|9999-12-31
|0000000005|Active|KRtMROFTkhVPydRKxEDtVV|Recreational Products|BBB-|0|Basey|11323 Clifton East||90229|Garden Grove|NC|United States of America|PSEFWVRYboJDCCbkRDGNzIyyBMeYi l PU qbrWLFDMBJAeRxWX UWMRKCFDNeHyssAbznTMCAtMRmhLSocEznZAgUDJzcLHLaH|1864-11-29|1|0|1967-01-08 00:13:13|9999-12-31
|0000000006|Active|diqlqOsDpYaNQhSPBbXhMXocCDXEfNMfLDMDHOdpovsklTN|S&Ls/Savings Banks|AA-|0|Leopard|3833 Princeton Crescent||40214|Phoenix|RI|Canada|mzRDwfNsLqwBLQedZIFTCCxaOnKHqwyD cqovHXAqgIsnRUBakGDMKeOSGIZMrXApUqoqxDpgMcJwgPGDQURpTAzOSIkfOKRJGsPeJumOTYjDVLByShyjrMYFxSzPMlAxNHEHGzqTJnHMFmpFJK|1890-01-30|1|0|1967-01-08 21:13:40|9999-12-31
|0000000007|Active|JaBRAUCPDCLITNXXrADVCSIopfxogeRFkYFvBVlr|S&Ls/Savings Banks|ZyG|1|Aird|19309 McFarlin North||60612|Little Rock|SC|United States of America|EoxwpIaSiVNkSIbAPRUTUVAnyUQpVyHrLpJUULKOGxxWlAyDfPudALpC ncyZpcUBGLCEizruOCLzBEPhoVUADcFJOUdmJXBcgjCCpKQQFKjquitvKLtxRwQtQwISaS|1903-04-11|0|0|1967-01-10 12:54:22|1971-12-30 10:56:10
